name,Pres01,Pres02,Pres03,Pres04,Pres05,Pres06,Pres07,Deg01,Deg02,Deg03,Deg04,Deg05,Deg06,Deg07
Thermacetogenium,0.0,0.00265,0.0,0.0,0.0014,0.00097,0.00402,0.0,0.0,0.00185,0.00061,0.0,0.00112,0.00358
Thermaerobacter,0.04379,0.02252,0.02076,0.01425,0.02105,0.02324,0.02011,0.02487,0.03185,0.02966,0.01635,0.0078,0.03016,0.04293
Thermanaeromonas,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.00061,0.00043,0.0,0.00119
Thermanaerosceptrum,0.0,0.0,0.0,0.0,0.0014,0.00097,0.0,0.00124,0.0,0.0,0.00061,0.0,0.0,0.00119
Thermanaerovibrio,0.0,0.00397,0.00148,0.0015,0.0014,0.0,0.0,0.00249,0.0,0.00742,0.00242,0.00347,0.00223,0.00358
Thermincola,0.00209,0.0,0.0,0.00075,0.0,0.0,0.0,0.00124,0.0,0.0,0.0,0.00043,0.0,0.00119
Thermoactinomyces,0.0,0.00132,0.00148,0.0,0.0,0.0,0.0,0.0,0.0,0.00185,0.00061,0.00043,0.00112,0.00477
Thermoanaerobacter,0.0,0.0,0.00593,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.00043,0.0,0.0
Thermoanaerobacterium,0.0,0.0,0.0,0.0,0.0014,0.00194,0.01207,0.00124,0.0,0.0,0.00061,0.00173,0.0,0.0
Thermobacillus,0.00417,0.00265,0.00593,0.0075,0.00421,0.00581,0.0,0.00497,0.00579,0.00927,0.00242,0.0013,0.0067,0.00715
Thermobaculum,0.00209,0.00132,0.00297,0.0,0.00561,0.0,0.0,0.00124,0.0,0.00185,0.0,0.0,0.00112,0.0
Thermobifida,0.02919,0.03709,0.05042,0.05024,0.09963,0.15781,0.04826,0.06093,0.03475,0.03523,0.02362,0.02904,0.0525,0.02742
Thermobispora,0.0417,0.04371,0.01631,0.033,0.07578,0.16458,0.04424,0.06218,0.03185,0.03708,0.0218,0.02384,0.06367,0.02862
Thermocaproicibacter,0.0,0.0,0.0,0.00225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043,0.00112,0.0
Thermochromatium,0.00626,0.00265,0.00445,0.0165,0.01123,0.01259,0.0,0.0087,0.01737,0.01854,0.00727,0.0065,0.02122,0.00835
Thermoclostridium,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.00249,0.0,0.0,0.0,0.00043,0.0,0.0
Thermococcus,0.00417,0.00132,0.00148,0.00225,0.00281,0.00194,0.00402,0.00124,0.0029,0.00556,0.00121,0.00217,0.00559,0.00715
Thermocoleostomius,0.0,0.0,0.00148,0.0015,0.00421,0.00097,0.0,0.0,0.0,0.0,0.00061,0.0,0.00112,0.00119
Thermocrinis,0.0,0.0,0.0,0.0,0.0014,0.00194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thermodesulfatator,0.0,0.0,0.0,0.00075,0.0014,0.00097,0.0,0.0,0.0029,0.00371,0.00061,0.0,0.00112,0.00119
Thermodesulfobacterium,0.0,0.00132,0.00148,0.00075,0.0,0.0,0.0,0.0,0.0,0.00185,0.00242,0.0,0.00223,0.00238
Thermodesulfobium,0.00209,0.00265,0.00148,0.00075,0.0,0.0,0.00402,0.00124,0.0,0.0,0.0,0.0,0.0,0.0
Thermodesulfomicrobium,0.00209,0.0053,0.00148,0.003,0.0014,0.0029,0.00402,0.00124,0.0029,0.00185,0.00121,0.0013,0.01117,0.00238
Thermodesulfovibrio,0.0,0.0,0.0,0.0015,0.0014,0.0,0.0,0.0,0.0,0.00371,0.0,0.0,0.00223,0.0
Thermofilum,0.0,0.00265,0.0,0.0,0.0,0.0,0.0,0.0,0.00579,0.0,0.00121,0.00043,0.0,0.0
Thermoflavifilum,0.00209,0.00265,0.00445,0.00225,0.00281,0.00968,0.0,0.00373,0.0029,0.00371,0.00484,0.0026,0.00112,0.00596
Thermoflexus,0.01668,0.01192,0.01038,0.00675,0.01123,0.00678,0.00402,0.00497,0.0029,0.00927,0.00727,0.00217,0.00447,0.01431
Thermogladius,0.0,0.0,0.0,0.00075,0.0014,0.0,0.0,0.00124,0.0,0.0,0.0,0.0,0.0,0.0
Thermogutta,0.0,0.00265,0.00445,0.00225,0.0014,0.00678,0.0,0.00622,0.00869,0.00185,0.00121,0.00043,0.00223,0.00358
Thermoleophilum,0.02919,0.02384,0.05783,0.021,0.02666,0.03098,0.01609,0.02363,0.01448,0.0241,0.01574,0.00433,0.01899,0.01669
Thermoleptolyngbya,0.0,0.0106,0.00148,0.003,0.0,0.00097,0.0,0.0,0.0,0.00185,0.00848,0.0013,0.01117,0.0
